date,zone,consumption,temperature,occupancy
2025-02-20,Academic Block,4511.7,28.7,965
2025-02-21,Academic Block,4514.6,28.7,964
2025-02-22,Academic Block,3505.4,29.0,940
2025-02-23,Academic Block,3267.9,26.9,1039
2025-02-24,Academic Block,4718.6,27.3,1048
2025-02-25,Academic Block,4575.4,29.8,1094
2025-02-26,Academic Block,4449.6,27.5,955
2025-02-27,Academic Block,4341.2,28.6,1017
2025-02-28,Academic Block,4565.2,30.0,1000
2025-03-01,Academic Block,3451.4,28.5,1136
2025-03-02,Academic Block,3289.5,27.7,946
2025-03-03,Academic Block,4622.0,28.7,1035
2025-03-04,Academic Block,4625.1,29.0,957
2025-03-05,Academic Block,4232.2,28.5,1042
2025-03-06,Academic Block,4582.6,27.3,1008
2025-03-07,Academic Block,4621.3,27.9,1007
2025-03-08,Academic Block,3195.6,27.6,1017
2025-03-09,Academic Block,3299.0,31.0,1052
2025-03-10,Academic Block,4281.0,28.0,1025
2025-03-11,Academic Block,4663.1,30.2,1192
2025-03-12,Academic Block,4678.1,31.2,1047
2025-03-13,Academic Block,4697.6,29.1,1037
2025-03-14,Academic Block,4416.1,29.3,975
2025-03-15,Academic Block,3218.0,33.1,906
2025-03-16,Academic Block,3340.9,27.3,976
2025-03-17,Academic Block,4797.2,29.8,946
2025-03-18,Academic Block,4439.0,30.8,963
2025-03-19,Academic Block,4627.8,29.9,967
2025-03-20,Academic Block,5015.5,30.8,898
2025-03-21,Academic Block,4626.1,28.9,1042
2025-03-22,Academic Block,3055.0,29.7,1025
2025-03-23,Academic Block,3387.8,28.1,983
2025-03-24,Academic Block,4499.0,28.9,1088
2025-03-25,Academic Block,4676.3,28.0,1045
2025-03-26,Academic Block,5021.0,31.5,924
2025-03-27,Academic Block,4500.7,31.9,964
2025-03-28,Academic Block,4687.2,31.1,953
2025-03-29,Academic Block,3207.4,25.1,948
2025-03-30,Academic Block,3169.2,28.1,1081
2025-03-31,Academic Block,4313.8,29.3,1006
2025-04-01,Academic Block,4888.2,27.8,1058
2025-04-02,Academic Block,4602.0,28.5,1023
2025-04-03,Academic Block,4639.5,29.1,1003
2025-04-04,Academic Block,4522.3,30.2,1033
2025-04-05,Academic Block,3536.3,28.1,1106
2025-04-06,Academic Block,2828.2,29.7,1029
2025-04-07,Academic Block,4653.3,29.0,989
2025-04-08,Academic Block,4497.4,29.1,1042
2025-04-09,Academic Block,4666.1,28.9,1044
2025-04-10,Academic Block,4654.7,31.1,1031
2025-04-11,Academic Block,4425.8,29.0,1037
2025-04-12,Academic Block,3334.9,29.8,1005
2025-04-13,Academic Block,3467.0,28.9,1027
2025-04-14,Academic Block,4545.2,29.5,1054
2025-04-15,Academic Block,4748.4,31.0,1065
2025-04-16,Academic Block,4585.0,30.8,984
2025-04-17,Academic Block,4642.9,29.5,1004
2025-04-18,Academic Block,4694.3,28.4,1104
2025-04-19,Academic Block,2999.3,27.8,1057
2025-04-20,Academic Block,3356.6,30.5,1031
2025-04-21,Academic Block,4563.2,28.2,1003
2025-04-22,Academic Block,4426.7,31.0,992
2025-04-23,Academic Block,4393.3,29.0,1020
2025-04-24,Academic Block,4441.8,28.2,1012
2025-04-25,Academic Block,4599.5,28.6,976
2025-04-26,Academic Block,3228.9,27.1,929
2025-04-27,Academic Block,3035.7,28.9,1015
2025-04-28,Academic Block,4832.6,30.5,992
2025-04-29,Academic Block,4529.0,27.6,999
2025-04-30,Academic Block,4470.3,29.5,958
2025-05-01,Academic Block,4626.9,31.3,994
2025-05-02,Academic Block,4598.2,29.9,979
2025-05-03,Academic Block,3203.6,28.9,1004
2025-05-04,Academic Block,3000.4,28.8,1024
2025-05-05,Academic Block,4791.8,30.1,1107
2025-05-06,Academic Block,4342.3,29.9,1009
2025-05-07,Academic Block,4927.9,27.3,958
2025-05-08,Academic Block,4364.0,25.3,973
2025-05-09,Academic Block,4325.9,28.6,1017
2025-05-10,Academic Block,3505.2,29.7,971
2025-05-11,Academic Block,2945.8,28.9,933
2025-05-12,Academic Block,4824.6,29.9,976
2025-05-13,Academic Block,4109.0,30.1,994
2025-05-14,Academic Block,4692.3,25.5,970
2025-05-15,Academic Block,4438.8,27.9,977
2025-05-16,Academic Block,4555.2,26.1,992
2025-05-17,Academic Block,3120.4,28.4,1035
2025-05-18,Academic Block,2866.2,25.2,1063
2025-05-19,Academic Block,4474.9,26.3,1077
2025-05-20,Academic Block,4424.0,29.1,1003
2025-05-21,Academic Block,4805.2,29.9,987
2025-05-22,Academic Block,4579.5,28.1,1068
2025-05-23,Academic Block,4184.3,28.1,1052
2025-05-24,Academic Block,2706.7,25.1,898
2025-05-25,Academic Block,2998.8,27.9,1075
2025-05-26,Academic Block,4367.5,29.1,930
2025-05-27,Academic Block,4003.6,26.5,1019
2025-05-28,Academic Block,4329.2,23.4,995
2025-05-29,Academic Block,4066.3,27.4,1018
2025-05-30,Academic Block,4130.5,25.5,947
2025-05-31,Academic Block,3004.2,27.6,950
2025-06-01,Academic Block,3111.3,25.2,960
2025-06-02,Academic Block,4270.4,24.3,972
2025-06-03,Academic Block,4043.1,28.7,1001
2025-06-04,Academic Block,4133.6,26.0,994
2025-06-05,Academic Block,4220.1,26.4,1037
2025-06-06,Academic Block,4148.9,24.5,986
2025-06-07,Academic Block,2511.5,23.0,1068
2025-06-08,Academic Block,3294.3,24.8,1028
2025-06-09,Academic Block,4288.9,29.6,1055
2025-06-10,Academic Block,4191.4,23.5,919
2025-06-11,Academic Block,4248.1,23.6,928
2025-06-12,Academic Block,4068.3,23.0,1084
2025-06-13,Academic Block,4364.2,24.5,1073
2025-06-14,Academic Block,2940.1,23.1,1076
2025-06-15,Academic Block,3025.5,22.7,990
2025-06-16,Academic Block,3983.1,22.0,1046
2025-06-17,Academic Block,4530.1,21.9,1028
2025-06-18,Academic Block,4008.1,23.1,970
2025-06-19,Academic Block,3955.3,23.8,958
2025-06-20,Academic Block,4172.1,23.5,988
2025-06-21,Academic Block,2694.0,22.6,1037
2025-06-22,Academic Block,2968.6,21.8,1004
2025-06-23,Academic Block,4237.8,20.7,1027
2025-06-24,Academic Block,3944.7,23.9,961
2025-06-25,Academic Block,3706.0,20.5,1002
2025-06-26,Academic Block,4108.7,21.4,1031
2025-06-27,Academic Block,3714.1,22.5,939
2025-06-28,Academic Block,2694.9,22.6,956
2025-06-29,Academic Block,2741.2,23.9,971
2025-06-30,Academic Block,4182.6,20.5,1026
2025-01-01,Hostel,6448.0,18.4,1460
2025-01-02,Hostel,6204.1,22.0,1518
2025-01-03,Hostel,5865.3,22.5,1492
2025-01-04,Hostel,6412.3,22.9,1516
2025-01-05,Hostel,5953.8,22.0,1478
2025-01-06,Hostel,6211.1,22.2,1514
2025-01-07,Hostel,6730.8,24.3,1483
2025-01-08,Hostel,6483.9,22.5,1398
2025-01-09,Hostel,5836.5,20.4,1482
2025-01-10,Hostel,6159.7,25.9,1516
2025-01-11,Hostel,6103.7,24.7,1389
2025-01-12,Hostel,6255.3,24.8,1426
2025-01-13,Hostel,6542.9,24.3,1479
2025-01-14,Hostel,6404.6,27.3,1509
2025-01-15,Hostel,6304.3,23.4,1457
2025-01-16,Hostel,6493.9,22.9,1503
2025-01-17,Hostel,6116.3,25.0,1516
2025-01-18,Hostel,6585.7,23.7,1486
2025-01-19,Hostel,5995.5,23.9,1518
2025-01-20,Hostel,6530.9,23.3,1543
2025-01-21,Hostel,6725.0,25.4,1593
2025-01-22,Hostel,6100.6,23.1,1411
2025-01-23,Hostel,6795.9,26.1,1497
2025-01-24,Hostel,6445.3,23.5,1622
2025-01-25,Hostel,6414.2,25.5,1536
2025-01-26,Hostel,6533.8,25.8,1460
2025-01-27,Hostel,6544.8,28.4,1567
2025-01-28,Hostel,6895.2,24.9,1450
2025-01-29,Hostel,6393.1,25.9,1554
2025-01-30,Hostel,5936.7,28.2,1492
2025-01-31,Hostel,6329.7,24.6,1417
2025-02-01,Hostel,6718.0,26.3,1435
2025-02-02,Hostel,6095.7,25.8,1583
2025-02-03,Hostel,6419.3,24.2,1487
2025-02-04,Hostel,6428.2,22.5,1497
2025-02-05,Hostel,6453.4,27.7,1592
2025-02-06,Hostel,6873.2,26.4,1444
2025-02-07,Hostel,7319.6,27.0,1500
2025-02-08,Hostel,6552.6,27.3,1492
2025-02-09,Hostel,6399.8,26.3,1498
2025-02-10,Hostel,6420.7,26.1,1505
2025-02-11,Hostel,6519.0,29.5,1367
2025-02-12,Hostel,6934.5,29.3,1396
2025-02-13,Hostel,6515.5,26.9,1429
2025-02-14,Hostel,6396.2,25.9,1587
2025-02-15,Hostel,6921.2,29.6,1536
2025-02-16,Hostel,6312.6,27.0,1524
2025-02-17,Hostel,6295.2,29.0,1487
2025-02-18,Hostel,6559.8,29.0,1522
2025-02-19,Hostel,6574.2,29.8,1445
2025-02-20,Hostel,6877.3,29.0,1484
2025-02-21,Hostel,6800.1,26.4,1546
2025-02-22,Hostel,6656.4,27.5,1552
2025-02-23,Hostel,6509.9,26.3,1422
2025-02-24,Hostel,6912.2,26.6,1587
2025-02-25,Hostel,6114.8,31.1,1510
2025-02-26,Hostel,6719.0,27.8,1519
2025-02-27,Hostel,6745.3,30.4,1505
2025-02-28,Hostel,6809.9,28.3,1497
2025-03-01,Hostel,6865.2,26.3,1432
2025-03-02,Hostel,7003.7,29.2,1490
2025-03-03,Hostel,6793.8,29.5,1473
2025-03-04,Hostel,6562.2,29.4,1451
2025-03-05,Hostel,6925.3,26.6,1551
2025-03-06,Hostel,6951.4,29.6,1549
2025-03-07,Hostel,7316.0,30.8,1407
2025-03-08,Hostel,6438.8,28.4,1501
2025-03-09,Hostel,6984.2,28.3,1509
2025-03-10,Hostel,6608.2,28.5,1429
2025-03-11,Hostel,6563.5,27.4,1451
2025-03-12,Hostel,7162.0,28.1,1631
2025-03-13,Hostel,6999.0,29.8,1457
2025-03-14,Hostel,7066.0,28.7,1506
2025-03-15,Hostel,7628.6,29.5,1557
2025-03-16,Hostel,6654.1,29.6,1588
2025-03-17,Hostel,6681.1,32.4,1535
2025-03-18,Hostel,6704.3,30.7,1548
2025-03-19,Hostel,7063.2,27.4,1463
2025-03-20,Hostel,6805.8,29.7,1531
2025-03-21,Hostel,6936.5,27.8,1519
2025-03-22,Hostel,7069.2,30.7,1554
2025-03-23,Hostel,7138.8,30.6,1496
2025-03-24,Hostel,6392.7,30.6,1510
2025-03-25,Hostel,6974.5,28.0,1445
2025-03-26,Hostel,7210.7,29.9,1534
2025-03-27,Hostel,6904.8,30.0,1546
2025-03-28,Hostel,6742.8,30.1,1476
2025-03-29,Hostel,6768.2,29.5,1511
2025-03-30,Hostel,6755.7,31.9,1455
2025-03-31,Hostel,6843.7,29.3,1572
2025-04-01,Hostel,6959.0,31.5,1425
2025-04-02,Hostel,6980.0,31.3,1504
2025-04-03,Hostel,7219.2,29.2,1570
2025-04-04,Hostel,7588.7,29.4,1477
2025-04-05,Hostel,7334.1,32.4,1473
2025-04-06,Hostel,6770.9,29.6,1432
2025-04-07,Hostel,6620.0,28.5,1461
2025-04-08,Hostel,6883.5,30.3,1577
2025-04-09,Hostel,6592.5,31.4,1489
2025-04-10,Hostel,6875.0,30.9,1443
2025-04-11,Hostel,7002.1,30.1,1524
2025-04-12,Hostel,6971.4,33.5,1468
2025-04-13,Hostel,6722.4,28.9,1472
2025-04-14,Hostel,6687.2,31.6,1571
2025-04-15,Hostel,6703.7,28.5,1523
2025-04-16,Hostel,6705.5,30.7,1510
2025-04-17,Hostel,6412.4,32.0,1589
2025-04-18,Hostel,6679.0,29.1,1514
2025-04-19,Hostel,6958.6,30.6,1600
2025-04-20,Hostel,6800.4,28.4,1431
2025-04-21,Hostel,6629.2,29.5,1589
2025-04-22,Hostel,6687.9,29.8,1499
2025-04-23,Hostel,7194.2,33.2,1473
2025-04-24,Hostel,6685.0,31.0,1534
2025-04-25,Hostel,7379.8,30.2,1482
2025-04-26,Hostel,6996.7,30.9,1541
2025-04-27,Hostel,6965.2,30.8,1558
2025-04-28,Hostel,7220.9,30.1,1491
2025-04-29,Hostel,6843.3,30.9,1459
2025-04-30,Hostel,6902.6,28.5,1501
2025-05-01,Hostel,7168.1,29.3,1502
2025-05-02,Hostel,6368.9,30.0,1532
2025-05-03,Hostel,7417.9,28.4,1510
2025-05-04,Hostel,6835.5,31.1,1495
2025-05-05,Hostel,6836.0,29.6,1509
2025-05-06,Hostel,6609.8,28.9,1553
2025-05-07,Hostel,6426.9,28.7,1464
2025-05-08,Hostel,7084.3,26.2,1472
2025-05-09,Hostel,6829.7,30.7,1496
2025-05-10,Hostel,6540.5,31.1,1427
2025-05-11,Hostel,6037.8,28.9,1474
2025-05-12,Hostel,6381.1,29.2,1512
2025-05-13,Hostel,6508.2,26.1,1543
2025-05-14,Hostel,6862.2,27.8,1592
2025-05-15,Hostel,6335.6,25.5,1465
2025-05-16,Hostel,6632.2,28.1,1487
2025-05-17,Hostel,6740.6,25.8,1572
2025-05-18,Hostel,6599.3,29.2,1517
2025-05-19,Hostel,6749.7,28.3,1522
2025-05-20,Hostel,6794.1,29.3,1509
2025-05-21,Hostel,6802.3,27.1,1572
2025-05-22,Hostel,6374.9,29.8,1497
2025-05-23,Hostel,6136.7,27.2,1465
2025-05-24,Hostel,6805.9,25.9,1477
2025-05-25,Hostel,5974.6,26.1,1378
2025-05-26,Hostel,6053.8,27.8,1539
2025-05-27,Hostel,6644.0,25.1,1497
2025-05-28,Hostel,6502.5,24.7,1575
2025-05-29,Hostel,6753.9,26.0,1501
2025-05-30,Hostel,6540.2,23.2,1487
2025-05-31,Hostel,6259.9,24.6,1485
2025-06-01,Hostel,6990.4,27.0,1471
2025-06-02,Hostel,6609.4,28.0,1546
2025-06-03,Hostel,6441.9,24.8,1534
2025-06-04,Hostel,6528.4,27.0,1531
2025-06-05,Hostel,6711.3,24.7,1565
2025-06-06,Hostel,6441.8,28.5,1465
2025-06-07,Hostel,6889.2,25.6,1467
2025-06-08,Hostel,6209.1,24.7,1521
2025-06-09,Hostel,6496.8,24.2,1498
2025-06-10,Hostel,6968.2,27.5,1521
2025-06-11,Hostel,6322.5,24.9,1530
2025-06-12,Hostel,5989.6,24.2,1416
2025-06-13,Hostel,6401.6,25.5,1475
2025-06-14,Hostel,6739.2,22.5,1426
2025-06-15,Hostel,6319.5,25.8,1584
2025-06-16,Hostel,6099.6,25.7,1498
2025-06-17,Hostel,6170.5,25.3,1532
2025-06-18,Hostel,5734.4,26.1,1569
2025-06-19,Hostel,6004.5,24.3,1524
2025-06-20,Hostel,6255.2,22.7,1466
2025-06-21,Hostel,6154.1,25.2,1527
2025-06-22,Hostel,6035.3,24.5,1357
2025-06-23,Hostel,6475.8,20.6,1481
2025-06-24,Hostel,5780.0,21.1,1558
2025-06-25,Hostel,5960.2,23.4,1497
2025-06-26,Hostel,6228.2,22.9,1435
2025-06-27,Hostel,6368.5,21.9,1422
2025-06-28,Hostel,5925.8,24.7,1542
2025-06-29,Hostel,5934.1,21.8,1483
2025-06-30,Hostel,6646.3,22.8,1521
2025-01-01,Garden,1581.1,22.5,362
2025-01-02,Garden,1493.0,22.2,373
2025-01-03,Garden,1566.2,22.5,411
2025-01-04,Garden,1054.8,22.7,275
2025-01-05,Garden,1132.3,23.2,424
2025-01-06,Garden,1306.0,26.0,368
2025-01-07,Garden,1610.2,21.4,405
2025-01-08,Garden,1451.9,22.2,470
2025-01-09,Garden,1520.4,23.6,418
2025-01-10,Garden,1575.7,23.6,393
2025-01-11,Garden,1259.9,23.4,385
2025-01-12,Garden,1161.1,25.3,434
2025-01-13,Garden,1597.8,22.1,456
2025-01-14,Garden,1467.7,24.4,337
2025-01-15,Garden,1552.6,24.5,391
2025-01-16,Garden,1592.8,26.6,397
2025-01-17,Garden,1546.6,25.8,434
2025-01-18,Garden,1006.0,25.3,410
2025-01-19,Garden,1078.3,26.6,367
2025-01-20,Garden,1585.4,24.4,375
2025-01-21,Garden,1497.4,22.7,454
2025-01-22,Garden,1519.7,23.5,267
2025-01-23,Garden,1538.9,23.1,457
2025-01-24,Garden,1666.1,24.2,487
2025-01-25,Garden,1189.3,24.9,250
2025-01-26,Garden,1290.0,23.4,292
2025-01-27,Garden,1677.5,29.2,444
2025-01-28,Garden,1646.6,26.6,417
2025-01-29,Garden,1664.6,26.3,380
2025-01-30,Garden,1606.4,24.8,360
2025-01-31,Garden,1487.5,25.9,325
2025-02-01,Garden,1049.7,26.5,444
2025-02-02,Garden,1203.6,23.9,325
2025-02-03,Garden,1694.9,24.9,363
2025-02-04,Garden,1668.8,25.1,380
2025-02-05,Garden,1530.6,25.7,390
2025-02-06,Garden,1514.3,27.4,374
2025-02-07,Garden,1678.3,27.2,443
2025-02-08,Garden,1157.4,26.3,381
2025-02-09,Garden,1190.8,27.2,377
2025-02-10,Garden,1593.3,26.2,304
2025-02-11,Garden,1780.1,25.4,340
2025-02-12,Garden,1597.9,28.7,360
2025-02-13,Garden,1748.2,26.5,388
2025-02-14,Garden,1594.7,30.8,315
2025-02-15,Garden,1185.3,28.6,395
2025-02-16,Garden,1150.1,27.6,377
2025-02-17,Garden,1654.4,29.3,485
2025-02-18,Garden,1626.3,25.9,370
2025-02-19,Garden,1864.1,26.9,456
2025-02-20,Garden,1798.9,27.3,403
2025-02-21,Garden,1797.7,27.7,364
2025-02-22,Garden,1130.9,26.8,342
2025-02-23,Garden,1084.4,28.5,336
2025-02-24,Garden,1700.1,26.2,391
2025-02-25,Garden,1747.3,25.6,393
2025-02-26,Garden,1779.1,26.8,458
2025-02-27,Garden,1720.6,27.7,372
2025-02-28,Garden,1733.1,28.9,401
2025-03-01,Garden,1116.2,29.1,304
2025-03-02,Garden,1178.3,27.6,338
2025-03-03,Garden,1789.8,30.6,405
2025-03-04,Garden,1617.0,28.6,435
2025-03-05,Garden,1711.3,32.6,394
2025-03-06,Garden,1716.8,28.7,381
2025-03-07,Garden,1692.6,30.3,422
2025-03-08,Garden,1135.0,27.3,283
2025-03-09,Garden,1233.2,27.7,267
2025-03-10,Garden,1737.8,33.2,374
2025-03-11,Garden,1773.0,29.6,370
2025-03-12,Garden,1780.4,29.1,388
2025-03-13,Garden,1736.9,28.6,424
2025-03-14,Garden,1700.9,28.5,401
2025-03-15,Garden,1133.2,29.7,374
2025-03-16,Garden,1282.8,30.4,373
2025-03-17,Garden,1778.6,31.8,402
2025-03-18,Garden,1719.0,27.8,321
2025-03-19,Garden,1696.3,28.9,365
2025-03-20,Garden,1724.3,30.6,371
2025-03-21,Garden,1757.3,29.9,276
2025-03-22,Garden,1134.6,29.7,314
2025-03-23,Garden,1250.5,32.2,435
2025-03-24,Garden,1706.7,32.2,382
2025-03-25,Garden,1698.0,29.0,359
2025-03-26,Garden,1694.6,30.2,383
2025-03-27,Garden,1724.3,30.6,434
2025-03-28,Garden,1795.6,27.8,247
2025-03-29,Garden,1277.3,27.9,363
2025-03-30,Garden,1119.6,27.3,402
2025-03-31,Garden,1781.9,29.1,245
2025-04-01,Garden,1684.0,30.6,301
2025-04-02,Garden,1738.7,30.0,403
2025-04-03,Garden,1733.9,28.5,434
2025-04-04,Garden,1712.9,30.0,328
2025-04-05,Garden,1173.9,28.7,366
2025-04-06,Garden,1335.4,27.9,294
2025-04-07,Garden,1834.2,29.6,341
2025-04-08,Garden,1801.5,29.0,466
2025-04-09,Garden,1773.8,29.2,482
2025-04-10,Garden,1677.0,31.0,389
2025-04-11,Garden,1819.5,32.2,376
2025-04-12,Garden,1148.3,30.6,341
2025-04-13,Garden,1355.3,30.0,356
2025-04-14,Garden,1733.5,27.8,326
2025-04-15,Garden,1808.8,28.8,322
2025-04-16,Garden,1758.0,31.5,410
2025-04-17,Garden,1791.5,28.6,303
2025-04-18,Garden,1828.3,29.2,362
2025-04-19,Garden,1299.8,30.5,397
2025-04-20,Garden,1361.7,28.6,421
2025-04-21,Garden,1716.4,29.9,451
2025-04-22,Garden,1748.9,30.3,428
2025-04-23,Garden,1682.0,28.2,322
2025-04-24,Garden,1560.5,32.5,319
2025-04-25,Garden,1689.9,28.9,390
2025-04-26,Garden,1254.6,30.6,345
2025-04-27,Garden,1179.7,29.7,362
2025-04-28,Garden,1822.1,29.9,411
2025-04-29,Garden,1749.5,30.9,384
2025-04-30,Garden,1600.7,29.6,342
2025-05-01,Garden,1656.5,29.9,436
2025-05-02,Garden,1695.8,29.4,460
2025-05-03,Garden,1202.6,32.7,403
2025-05-04,Garden,1051.1,29.9,394
2025-05-05,Garden,1784.8,29.7,368
2025-05-06,Garden,1594.1,28.3,332
2025-05-07,Garden,1640.2,29.4,458
2025-05-08,Garden,1711.1,26.7,397
2025-05-09,Garden,1768.9,27.5,368
2025-05-10,Garden,1174.8,27.1,407
2025-05-11,Garden,1163.0,28.8,330
2025-05-12,Garden,1639.1,29.2,356
2025-05-13,Garden,1798.9,27.4,386
2025-05-14,Garden,1736.7,25.8,286
2025-05-15,Garden,1549.7,29.7,347
2025-05-16,Garden,1853.3,26.9,384
2025-05-17,Garden,1276.8,30.7,478
2025-05-18,Garden,1249.8,29.1,404
2025-05-19,Garden,1711.6,26.6,334
2025-05-20,Garden,1650.1,27.1,352
2025-05-21,Garden,1699.6,28.7,379
2025-05-22,Garden,1755.3,25.4,365
2025-05-23,Garden,1587.7,24.2,370
2025-05-24,Garden,1137.8,29.2,406
2025-05-25,Garden,1067.9,29.6,436
2025-05-26,Garden,1675.9,26.4,327
2025-05-27,Garden,1601.2,28.2,469
2025-05-28,Garden,1741.7,25.7,319
2025-05-29,Garden,1633.2,23.7,391
2025-05-30,Garden,1608.3,25.5,295
2025-05-31,Garden,1169.8,25.3,316
2025-06-01,Garden,913.5,26.0,463
2025-06-02,Garden,1734.0,25.2,344
2025-06-03,Garden,1641.2,24.3,390
2025-06-04,Garden,1660.0,27.5,369
2025-06-05,Garden,1583.8,24.2,333
2025-06-06,Garden,1578.6,26.0,420
2025-06-07,Garden,1054.2,27.5,361
2025-06-08,Garden,1110.4,24.0,253
2025-06-09,Garden,1651.3,26.1,360
2025-06-10,Garden,1586.4,25.7,296
2025-06-11,Garden,1538.1,26.0,312
2025-06-12,Garden,1596.1,22.6,398
2025-06-13,Garden,1567.8,22.1,433
2025-06-14,Garden,1041.6,23.2,385
2025-06-15,Garden,1180.3,22.7,378
2025-06-16,Garden,1591.5,25.1,383
2025-06-17,Garden,1528.1,22.7,379
2025-06-18,Garden,1471.4,19.5,396
2025-06-19,Garden,1615.8,20.2,324
2025-06-20,Garden,1590.7,26.7,376
2025-06-21,Garden,1023.7,23.2,443
2025-06-22,Garden,1027.2,22.1,350
2025-06-23,Garden,1461.3,23.4,456
2025-06-24,Garden,1553.2,22.7,360
2025-06-25,Garden,1407.9,24.2,371
2025-06-26,Garden,1507.7,27.5,389
2025-06-27,Garden,1461.0,22.0,432
2025-06-28,Garden,1068.0,20.3,420
2025-06-29,Garden,1006.7,25.2,429
2025-06-30,Garden,1472.3,24.1,378
